County,n,long,lat,group,order,region
hillsborough,50,-82.54029846191406,27.87439727783203,318,13239,florida
hillsborough,50,-82.54029846191406,27.897315979003906,318,13240,florida
hillsborough,50,-82.54029846191406,27.93169403076172,318,13241,florida
hillsborough,50,-82.54029846191406,27.96034049987793,318,13242,florida
hillsborough,50,-82.56321716308594,27.977529525756836,318,13243,florida
hillsborough,50,-82.60332489013672,27.988988876342773,318,13244,florida
hillsborough,50,-82.620513916015625,28.006175994873047,318,13245,florida
hillsborough,50,-82.63770294189453,28.017635345458984,318,13246,florida
hillsborough,50,-82.65489196777344,28.01190757751465,318,13247,florida
hillsborough,50,-82.65489196777344,28.16660499572754,318,13248,florida
indian river,8,-80.672454833984375,27.553539276123047,320,13271,florida
indian river,8,-80.76985931396484,27.55927085876465,320,13272,florida
indian river,8,-80.77559661865234,27.639484405517578,320,13273,florida
indian river,8,-80.86726379394531,27.639484405517578,320,13274,florida
indian river,8,-80.86726379394531,27.719697952270508,320,13275,florida
indian river,8,-80.88445281982422,27.725427627563477,320,13276,florida
indian river,8,-80.87872314453125,27.805641174316406,320,13277,florida
indian river,8,-80.87299346923828,27.811370849609375,320,13278,florida
indian river,8,-80.51203155517578,27.805641174316406,320,13279,florida
indian river,8,-80.47765350341797,27.851478576660156,320,13280,florida
indian river,8,-80.44327545166016,27.79418182373047,320,13281,florida
indian river,8,-80.41462707519531,27.719697952270508,320,13282,florida
indian river,8,-80.3802490234375,27.650943756103516,320,13283,florida
indian river,8,-80.357330322265625,27.610836029052734,320,13284,florida
indian river,8,-80.33441162109375,27.54781150817871,320,13285,florida
indian river,8,-80.672454833984375,27.553539276123047,320,13286,florida
jackson,1,-85.5196762084961,31.008474349975586,321,13288,florida
jackson,1,-85.49676513671875,31.008474349975586,321,13289,florida
jackson,1,-85.0154800415039,30.99701690673828,321,13290,florida
jackson,1,-84.998291015625,30.9626407623291,321,13291,florida
jackson,1,-84.975372314453125,30.922531127929688,321,13292,florida
jackson,1,-84.94672393798828,30.899616241455078,321,13293,florida
jackson,1,-84.94099426269531,30.888154983520508,321,13294,florida
jackson,1,-84.94672393798828,30.859508514404297,321,13295,florida
jackson,1,-84.94099426269531,30.785022735595703,321,13296,florida
jackson,1,-84.9066162109375,30.744915008544922,321,13297,florida
jackson,1,-84.87796783447266,30.727725982666016,321,13298,florida
jackson,1,-84.86650848388672,30.716266632080078,321,13299,florida
jackson,1,-84.87796783447266,30.676158905029297,321,13300,florida
jackson,1,-84.89515686035156,30.65896987915039,321,13301,florida
jackson,1,-84.9066162109375,30.630325317382812,321,13302,florida
jackson,1,-84.93525695800781,30.607406616210938,321,13303,florida
jackson,1,-84.93525695800781,30.607406616210938,321,13304,florida
jackson,1,-85.181640625,30.607406616210938,321,13305,florida
jackson,1,-85.1930923461914,30.573026657104492,321,13306,florida
jackson,1,-85.39936065673828,30.573026657104492,321,13307,florida
jackson,1,-85.450927734375,30.573026657104492,321,13308,florida
jackson,1,-85.450927734375,30.802209854125977,321,13309,florida
jackson,1,-85.50249481201172,30.807941436767578,321,13310,florida
jackson,1,-85.50249481201172,30.848047256469727,321,13311,florida
jackson,1,-85.605621337890625,30.848047256469727,321,13312,florida
jackson,1,-85.62281799316406,30.848047256469727,321,13313,florida
jackson,1,-85.6113510131836,30.865236282348633,321,13314,florida
jackson,1,-85.58271026611328,30.922531127929688,321,13315,florida
jackson,1,-85.56551361083984,30.933992385864258,321,13316,florida
jackson,1,-85.559783935546875,30.956911087036133,321,13317,florida
jackson,1,-85.5196762084961,31.008474349975586,321,13318,florida
lake,6,-81.6350326538086,29.255224227905273,324,13389,florida
lake,6,-81.61783599853516,29.215116500854492,324,13390,florida
lake,6,-81.60065460205078,29.203659057617188,324,13391,florida
lake,6,-81.59492492675781,29.197927474975586,324,13392,florida
lake,6,-81.5719985961914,29.197927474975586,324,13393,florida
